time[s],SensorID,event,mask,tL.num_valid_targets,tL.reserved,tL.targets[0].amplitude,tL.targets[0].range,tL.targets[0].reserved[0],tL.targets[0].reserved[1],tL.targets[1].amplitude,tL.targets[1].range,tL.targets[1].reserved[0],tL.targets[1].reserved[1],tL.targets[2].amplitude,tL.targets[2].range,tL.targets[2].reserved[0],tL.targets[2].reserved[1],tL.targets[3].amplitude,tL.targets[3].range,tL.targets[3].reserved[0],tL.targets[3].reserved[1],tL.targets[4].amplitude,tL.targets[4].range,tL.targets[4].reserved[0],tL.targets[4].reserved[1]
201.415,0,1,1,1,0,17208,0.5262195222232854,67,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
201.434,1,1,25,1,1,4859,0.4879815340909091,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
201.452,0,1,1,1,0,17202,0.5266041387579838,67,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
201.471,1,1,25,1,1,4820,0.4875639204545455,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
201.489,0,1,1,1,0,17198,0.5262195222232854,67,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
201.508,1,1,25,1,1,4767,0.4874943181818182,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
201.526,0,1,1,1,0,17130,0.5261554194675023,67,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
201.545,1,1,25,1,1,4768,0.4874943181818182,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
201.563,0,1,1,1,0,17190,0.5265400360022008,67,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
201.582,1,1,25,1,1,4765,0.4871463068181819,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
201.6,0,1,1,1,0,17198,0.5264118304906347,67,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
201.619,1,1,25,1,1,4782,0.4874943181818182,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
201.637,0,1,1,1,0,17130,0.5262195222232854,67,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
201.656,1,1,25,1,1,4833,0.4874943181818182,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
201.674,0,1,1,1,0,17202,0.5262195222232854,67,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
201.693,1,1,25,1,1,4884,0.48770312500000007,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
201.711,0,1,1,1,0,17173,0.5265400360022008,67,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
201.73,1,1,25,1,1,4910,0.4878423295454546,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
201.748,0,1,1,1,0,5910,0.47320654319068006,59,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
201.767,1,1,25,1,1,4928,0.48819034090909097,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
201.785,0,1,1,1,0,5885,0.47307833767911395,59,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
201.804,1,1,25,1,1,4946,0.4886079545454546,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
201.822,0,1,1,1,0,5823,0.47320654319068006,59,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
201.841,1,1,25,1,1,4922,0.4888863636363637,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
201.859,0,1,1,1,0,17198,0.5267964470253331,67,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
201.878,1,1,25,1,1,4900,0.4888167613636364,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
201.896,0,1,1,1,0,17173,0.5264118304906347,67,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
201.915,1,1,25,1,1,4879,0.4890951704545455,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
201.933,0,1,1,1,0,17192,0.5267323442695501,67,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
201.952,1,1,25,1,1,4870,0.4880511363636364,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
201.97,0,1,1,1,0,17198,0.5264118304906347,67,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
201.989,1,1,25,1,1,4882,0.48867755681818187,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
202.007,0,1,1,1,0,17130,0.5262836249790684,67,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
202.026,1,1,25,1,1,4857,0.4879815340909091,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
202.044,0,1,1,1,0,17202,0.5262195222232854,67,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
202.063,1,1,25,1,1,4892,0.4885383522727273,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
202.081,0,1,1,1,0,17216,0.5263477277348515,67,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
202.1,1,1,25,1,1,4891,0.4885383522727273,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
202.118,0,1,1,1,0,17216,0.5266041387579838,67,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
202.137,1,1,25,1,1,4914,0.4888863636363637,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
202.155,0,1,1,1,0,17198,0.5266682415137669,67,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
202.174,1,1,25,1,1,4912,0.4880511363636364,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
202.191,0,1,1,1,0,17130,0.5266041387579838,67,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
202.211,1,1,25,1,1,4949,0.48874715909090916,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
202.228,0,1,1,1,0,16929,0.5264118304906347,66,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
202.248,1,1,25,1,1,4972,0.4882599431818182,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
202.265,0,1,1,1,0,17086,0.5266041387579838,66,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
202.285,1,1,25,1,1,5002,0.48819034090909097,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
202.302,0,1,1,1,0,17086,0.5266682415137669,66,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
202.322,1,1,25,1,1,5053,0.4879119318181819,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
202.339,0,1,1,1,0,17140,0.5269246525368992,67,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
202.359,1,1,25,1,1,5063,0.487424715909091,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
202.376,0,1,1,1,0,17140,0.5272451663158146,67,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
202.396,1,1,25,1,1,5071,0.4870071022727273,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
202.413,0,1,1,1,0,17139,0.527501577338947,67,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
202.433,1,1,25,1,1,5088,0.4870767045454546,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
202.45,0,1,1,1,0,5223,0.4733988514580293,59,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
202.47,1,1,25,1,1,5078,0.4872159090909091,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
202.487,0,1,1,1,0,5128,0.47352705696959546,59,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
202.507,1,1,25,1,1,5034,0.4876335227272728,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
202.524,0,1,1,1,0,5026,0.4733988514580293,59,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
202.544,1,1,25,1,1,5033,0.4876335227272728,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
202.561,0,1,1,1,0,5001,0.473142440434897,59,2500,21038,0,54109,27242,63638,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
202.581,1,1,25,1,1,5018,0.4880511363636364,56,2500,7919,0,56503,20781,19748,0,5535,28954,29800,0,45489,47546,60647,0,33528,38069
