time[s],SensorID,event,mask,tL.num_valid_targets,tL.reserved,tL.targets[0].amplitude,tL.targets[0].range,tL.targets[0].reserved[0],tL.targets[0].reserved[1],tL.targets[1].amplitude,tL.targets[1].range,tL.targets[1].reserved[0],tL.targets[1].reserved[1],tL.targets[2].amplitude,tL.targets[2].range,tL.targets[2].reserved[0],tL.targets[2].reserved[1],tL.targets[3].amplitude,tL.targets[3].range,tL.targets[3].reserved[0],tL.targets[3].reserved[1],tL.targets[4].amplitude,tL.targets[4].range,tL.targets[4].reserved[0],tL.targets[4].reserved[1]
426.091,1,1,0,1,1,17143,0.26721798147763826,33,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426.108,0,1,1,1,0,17085,0.2114663738134049,28,3500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
426.128,1,1,0,1,1,17143,0.2671484658737159,33,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426.145,0,1,1,1,0,17085,0.21140213736935468,28,3500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
426.165,1,1,0,1,1,17143,0.26770459070509495,33,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426.182,0,1,1,1,0,17103,0.21127366448125418,28,3500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
426.202,1,1,0,1,1,17143,0.2679131375168621,33,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426.219,0,1,1,1,0,17103,0.2113379009253044,28,3500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
426.239,1,1,0,1,1,17141,0.268260715536474,33,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426.256,0,1,1,1,0,17103,0.21140213736935468,28,3500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
426.276,1,1,0,1,1,17143,0.2681216843286292,33,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426.293,0,1,1,1,0,17117,0.2113379009253044,28,3500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
426.313,1,1,0,1,1,17143,0.268260715536474,33,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426.33,0,1,1,1,0,17069,0.2113379009253044,27,3500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
426.35,1,1,0,1,1,17143,0.26805216872470683,33,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426.367,0,1,1,1,0,17066,0.21114519159315367,27,3500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
426.387,1,1,0,1,1,17143,0.26763507510117257,33,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426.404,0,1,1,1,0,17069,0.21127366448125418,27,3500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
426.424,1,1,0,1,1,17141,0.2671484658737159,33,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426.441,0,1,1,1,0,16935,0.21095248226100297,28,3500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
426.461,1,1,0,1,1,16888,0.2661057318148801,32,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426.478,0,1,1,1,0,16918,0.21108095514910344,27,3500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
426.498,1,1,0,1,1,17143,0.2654105757756563,33,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
