time[s],SensorID,event,mask,tL.num_valid_targets,tL.reserved,tL.targets[0].amplitude,tL.targets[0].range,tL.targets[0].reserved[0],tL.targets[0].reserved[1],tL.targets[1].amplitude,tL.targets[1].range,tL.targets[1].reserved[0],tL.targets[1].reserved[1],tL.targets[2].amplitude,tL.targets[2].range,tL.targets[2].reserved[0],tL.targets[2].reserved[1],tL.targets[3].amplitude,tL.targets[3].range,tL.targets[3].reserved[0],tL.targets[3].reserved[1],tL.targets[4].amplitude,tL.targets[4].range,tL.targets[4].reserved[0],tL.targets[4].reserved[1]
409.373,1,1,0,1,1,17124,0.24935247126958596,31,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409.39,0,1,1,1,0,17012,0.2033725818630741,26,3500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
409.41,1,1,0,1,1,17103,0.24789264358721594,31,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409.427,0,1,1,1,0,16988,0.20330834541902384,26,3500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
409.447,1,1,0,1,1,16876,0.24559862865777732,31,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409.464,0,1,1,1,0,16986,0.2033725818630741,26,3500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
409.484,1,1,0,1,1,16878,0.24448637899501918,31,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409.501,0,1,1,1,0,16986,0.2032441089749736,26,3500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
409.521,1,1,0,1,1,17063,0.24573765986562207,31,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409.538,0,1,1,1,0,17043,0.2032441089749736,26,3500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
409.558,1,1,0,1,1,16877,0.24413880097540727,31,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409.575,0,1,1,1,0,16986,0.20317987253092337,26,3500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
409.595,1,1,0,1,1,17103,0.24580717546954445,31,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409.612,0,1,1,1,0,17053,0.20330834541902384,26,3500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
409.632,1,1,0,1,1,17103,0.24587669107346682,31,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409.649,0,1,1,1,0,17015,0.20311563608687314,26,3500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
409.669,1,1,0,1,1,17016,0.24476444141070872,31,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409.686,0,1,1,1,0,16992,0.20305139964282287,26,3500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
409.706,1,1,0,1,1,17072,0.24539008184601016,31,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409.723,0,1,1,1,0,16954,0.2032441089749736,26,3500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
409.743,1,1,0,1,1,17063,0.24573765986562207,31,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409.76,0,1,1,1,0,16934,0.20298716319877264,26,3500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
409.78,1,1,0,1,1,16875,0.245181535034243,31,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409.797,0,1,1,1,0,16969,0.20298716319877264,26,3500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
