time[s],SensorID,event,mask,tL.num_valid_targets,tL.reserved,tL.targets[0].amplitude,tL.targets[0].range,tL.targets[0].reserved[0],tL.targets[0].reserved[1],tL.targets[1].amplitude,tL.targets[1].range,tL.targets[1].reserved[0],tL.targets[1].reserved[1],tL.targets[2].amplitude,tL.targets[2].range,tL.targets[2].reserved[0],tL.targets[2].reserved[1],tL.targets[3].amplitude,tL.targets[3].range,tL.targets[3].reserved[0],tL.targets[3].reserved[1],tL.targets[4].amplitude,tL.targets[4].range,tL.targets[4].reserved[0],tL.targets[4].reserved[1]
592.404,0,1,1,1,0,17141,0.2862375946878895,40,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
592.424,1,1,0,1,1,5361,0.2870299285955173,33,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592.441,0,1,1,1,0,17141,0.28636606757599,40,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
592.461,1,1,0,1,1,5219,0.28696041299159486,33,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592.478,0,1,1,1,0,17141,0.28636606757599,38,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
592.498,1,1,0,1,1,5136,0.2868908973876725,33,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592.515,0,1,1,1,0,17141,0.28630183113193974,40,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
592.535,1,1,0,1,1,5046,0.28668235057590535,33,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592.552,0,1,1,1,0,17141,0.2864945404640905,40,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
592.572,1,1,0,1,1,4974,0.28668235057590535,33,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592.589,0,1,1,1,0,17141,0.28630183113193974,39,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
592.609,1,1,0,1,1,4926,0.2864738037641382,33,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592.626,0,1,1,1,0,17141,0.28617335824383927,38,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
592.646,1,1,0,1,1,4903,0.2864738037641382,33,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592.663,0,1,1,1,0,17141,0.2859806489116885,37,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
592.682,1,1,0,1,1,4936,0.2864738037641382,33,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592.7,0,1,1,1,0,17141,0.28610912179978903,38,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
592.719,1,1,0,1,1,5042,0.2864738037641382,33,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592.737,0,1,1,1,0,17141,0.28610912179978903,37,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
592.756,1,1,0,1,1,5200,0.28675186617982773,33,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592.774,0,1,1,1,0,17140,0.28610912179978903,37,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
592.793,1,1,0,1,1,5304,0.28696041299159486,33,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592.811,0,1,1,1,0,17140,0.2860448853557388,37,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
592.83,1,1,0,1,1,5426,0.28709944419943967,33,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592.848,0,1,1,1,0,17118,0.28610912179978903,36,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
592.867,1,1,0,1,1,5515,0.2873079910112068,33,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592.885,0,1,1,1,0,17141,0.2860448853557388,38,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
592.904,1,1,0,1,1,5592,0.2875165378229739,33,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592.922,0,1,1,1,0,17141,0.2860448853557388,37,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
592.941,1,1,0,1,1,5638,0.28744702221905155,33,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592.959,0,1,1,1,0,17141,0.28617335824383927,37,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
592.978,1,1,0,1,1,5675,0.2877250846347411,33,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592.996,0,1,1,1,0,16991,0.28591641246763827,38,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
593.015,1,1,0,1,1,5673,0.28786411584258587,33,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593.033,0,1,1,1,0,17022,0.28572370313548756,36,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
593.052,1,1,0,1,1,5651,0.2877946002386635,33,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593.07,0,1,1,1,0,17068,0.28591641246763827,37,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
593.089,1,1,0,1,1,5639,0.28786411584258587,33,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593.107,0,1,1,1,0,17068,0.2859806489116885,37,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
593.126,1,1,0,1,1,5608,0.28786411584258587,33,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593.144,0,1,1,1,0,16963,0.2857879395795378,36,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
593.163,1,1,0,1,1,5536,0.28786411584258587,33,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593.181,0,1,1,1,0,16921,0.28591641246763827,36,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
593.2,1,1,0,1,1,5548,0.28786411584258587,33,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593.218,0,1,1,1,0,17013,0.28591641246763827,38,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
593.237,1,1,0,1,1,5583,0.288072662654353,33,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593.255,0,1,1,1,0,17051,0.28591641246763827,38,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
593.274,1,1,0,1,1,5562,0.28814217825827537,33,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593.292,0,1,1,1,0,16849,0.28591641246763827,35,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
593.311,1,1,0,1,1,5564,0.28821169386219775,33,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593.329,0,1,1,1,0,16838,0.28591641246763827,35,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
593.348,1,1,0,1,1,5546,0.28821169386219775,33,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593.366,0,1,1,1,0,17091,0.28636606757599,36,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
593.385,1,1,0,1,1,5532,0.2882812094661201,33,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593.403,0,1,1,1,0,17141,0.28617335824383927,37,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
