time[s],SensorID,event,mask,tL.num_valid_targets,tL.reserved,tL.targets[0].amplitude,tL.targets[0].range,tL.targets[0].reserved[0],tL.targets[0].reserved[1],tL.targets[1].amplitude,tL.targets[1].range,tL.targets[1].reserved[0],tL.targets[1].reserved[1],tL.targets[2].amplitude,tL.targets[2].range,tL.targets[2].reserved[0],tL.targets[2].reserved[1],tL.targets[3].amplitude,tL.targets[3].range,tL.targets[3].reserved[0],tL.targets[3].reserved[1],tL.targets[4].amplitude,tL.targets[4].range,tL.targets[4].reserved[0],tL.targets[4].reserved[1]
522.406,1,1,0,1,1,16348,0.2670094346658711,34,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522.424,0,1,1,1,0,17180,0.24763149181369257,32,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
522.443,1,1,0,1,1,16402,0.2671484658737159,34,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522.461,0,1,1,1,0,17131,0.24743878248154183,32,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
522.48,1,1,0,1,1,16412,0.2671484658737159,34,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522.498,0,1,1,1,0,17154,0.24775996470179307,32,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
522.517,1,1,0,1,1,16279,0.26673137225018156,34,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522.535,0,1,1,1,0,17154,0.24756725536964233,32,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
522.554,1,1,0,1,1,16321,0.2670789502697935,34,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522.572,0,1,1,1,0,17179,0.2476957282577428,32,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
522.591,1,1,0,1,1,16295,0.26693991906194875,34,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522.609,0,1,1,1,0,17179,0.2476957282577428,32,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
522.628,1,1,0,1,1,16129,0.26673137225018156,34,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522.646,0,1,1,1,0,17179,0.24756725536964233,32,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
522.665,1,1,0,1,1,16076,0.2665923410423368,34,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
