time[s],SensorID,event,mask,tL.num_valid_targets,tL.reserved,tL.targets[0].amplitude,tL.targets[0].range,tL.targets[0].reserved[0],tL.targets[0].reserved[1],tL.targets[1].amplitude,tL.targets[1].range,tL.targets[1].reserved[0],tL.targets[1].reserved[1],tL.targets[2].amplitude,tL.targets[2].range,tL.targets[2].reserved[0],tL.targets[2].reserved[1],tL.targets[3].amplitude,tL.targets[3].range,tL.targets[3].reserved[0],tL.targets[3].reserved[1],tL.targets[4].amplitude,tL.targets[4].range,tL.targets[4].reserved[0],tL.targets[4].reserved[1]
682.451,1,1,0,1,1,17130,0.39582184873404586,46,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682.468,0,1,1,1,0,17190,0.33942537036149195,42,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
682.488,1,1,0,1,1,17115,0.3956133019222787,46,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682.505,0,1,1,1,0,17187,0.3392968974733915,42,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
682.525,1,1,0,1,1,16842,0.3951962082987444,48,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682.542,0,1,1,1,0,17182,0.3393611339174417,42,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
682.562,1,1,0,1,1,17039,0.3957523331301235,46,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682.579,0,1,1,1,0,17185,0.3394896068055422,42,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
682.599,1,1,0,1,1,17135,0.39589136433796823,47,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682.616,0,1,1,1,0,17162,0.3395538432495924,42,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
682.636,1,1,0,1,1,17138,0.3956828175262011,46,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682.653,0,1,1,1,0,17132,0.3395538432495924,42,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
682.673,1,1,0,1,1,17138,0.3955437863183563,47,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682.69,0,1,1,1,0,17167,0.3396180796936427,42,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
682.71,1,1,0,1,1,17139,0.3952657239026668,46,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682.727,0,1,1,1,0,17143,0.33942537036149195,42,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
682.747,1,1,0,1,1,17138,0.39512669269482203,47,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682.764,0,1,1,1,0,17152,0.3394896068055422,42,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
682.784,1,1,0,1,1,17138,0.39505717709089966,47,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682.801,0,1,1,1,0,17121,0.3396180796936427,42,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
682.821,1,1,0,1,1,17134,0.3951962082987444,46,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682.838,0,1,1,1,0,17059,0.3395538432495924,42,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
682.858,1,1,0,1,1,17094,0.3957523331301235,46,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682.875,0,1,1,1,0,17111,0.3396180796936427,42,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
682.895,1,1,0,1,1,17012,0.39616942675365774,46,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682.912,0,1,1,1,0,17020,0.3396180796936427,42,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
682.932,1,1,0,1,1,16984,0.3963779735654249,46,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682.949,0,1,1,1,0,16832,0.3395538432495924,42,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
682.969,1,1,0,1,1,17079,0.39630845796150255,46,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682.986,0,1,1,1,0,16878,0.33968231613769295,42,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
683.006,1,1,0,1,1,17062,0.3964474891693473,46,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
683.023,0,1,1,1,0,16817,0.3396180796936427,42,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
683.043,1,1,0,1,1,16842,0.39589136433796823,48,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
683.06,0,1,1,1,0,16829,0.3394896068055422,42,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
683.08,1,1,0,1,1,16842,0.3957523331301235,48,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
683.097,0,1,1,1,0,16772,0.33942537036149195,42,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
683.117,1,1,0,1,1,16842,0.3957523331301235,48,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
683.134,0,1,1,1,0,16922,0.3394896068055422,43,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
683.154,1,1,0,1,1,16996,0.3957523331301235,48,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
683.171,0,1,1,1,0,16851,0.3395538432495924,42,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
683.191,1,1,0,1,1,17141,0.39582184873404586,47,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
683.208,0,1,1,1,0,16870,0.3395538432495924,42,2500,21038,0,54109,27371,64182,0,29098,31398,35518,0,601,6224,24615,0,17323,30129
