time[s],SensorID,event,mask,tL.num_valid_targets,tL.reserved,tL.targets[0].amplitude,tL.targets[0].range,tL.targets[0].reserved[0],tL.targets[0].reserved[1],tL.targets[1].amplitude,tL.targets[1].range,tL.targets[1].reserved[0],tL.targets[1].reserved[1],tL.targets[2].amplitude,tL.targets[2].range,tL.targets[2].reserved[0],tL.targets[2].reserved[1],tL.targets[3].amplitude,tL.targets[3].range,tL.targets[3].reserved[0],tL.targets[3].reserved[1],tL.targets[4].amplitude,tL.targets[4].range,tL.targets[4].reserved[0],tL.targets[4].reserved[1]
363.961,1,1,25,1,1,7666,0.47942045454545457,55,2500,7919,0,40375,20783,19812,0,5527,28698,29800,0,45489,47546,60647,0,33522,38069
363.978,0,1,1,1,0,17182,0.47793543960971413,61,2500,16942,0,54109,27371,64150,0,29090,31398,35518,0,89,6224,24871,0,17323,30129
363.998,1,1,25,1,1,7848,0.47942045454545457,55,2500,7919,0,40375,20783,19812,0,5527,28698,29800,0,45489,47546,60647,0,33522,38069
364.015,0,1,1,1,0,17211,0.4780636067965228,61,2500,16942,0,54109,27371,64150,0,29090,31398,35518,0,89,6224,24871,0,17323,30129
364.035,1,1,25,1,1,7988,0.47955965909090914,55,2500,7919,0,40375,20783,19812,0,5527,28698,29800,0,45489,47546,60647,0,33522,38069
364.052,0,1,1,1,0,17190,0.4780636067965228,61,2500,16942,0,54109,27371,64150,0,29090,31398,35518,0,89,6224,24871,0,17323,30129
364.072,1,1,25,1,1,8142,0.47969886363636366,55,2500,7919,0,40375,20783,19812,0,5527,28698,29800,0,45489,47546,60647,0,33522,38069
364.089,0,1,1,1,0,17200,0.4780636067965228,61,2500,16942,0,54109,27371,64150,0,29090,31398,35518,0,89,6224,24871,0,17323,30129
364.109,1,1,25,1,1,8253,0.4799076704545455,55,2500,7919,0,40375,20783,19812,0,5527,28698,29800,0,45489,47546,60647,0,33522,38069
364.126,0,1,1,1,0,17212,0.4781276903899272,61,2500,16942,0,54109,27371,64150,0,29090,31398,35518,0,89,6224,24871,0,17323,30129
364.146,1,1,25,1,1,8296,0.4799076704545455,56,2500,7919,0,40375,20783,19812,0,5527,28698,29800,0,45489,47546,60647,0,33522,38069
364.163,0,1,1,1,0,17200,0.4780636067965228,61,2500,16942,0,54109,27371,64150,0,29090,31398,35518,0,89,6224,24871,0,17323,30129
364.183,1,1,25,1,1,8335,0.4801860795454546,56,2500,7919,0,40375,20783,19812,0,5527,28698,29800,0,45489,47546,60647,0,33522,38069
364.2,0,1,1,1,0,17183,0.4780636067965228,61,2500,16942,0,54109,27371,64150,0,29090,31398,35518,0,89,6224,24871,0,17323,30129
364.22,1,1,25,1,1,8283,0.4801860795454546,55,2500,7919,0,40375,20783,19812,0,5527,28698,29800,0,45489,47546,60647,0,33522,38069
364.237,0,1,1,1,0,17200,0.4781276903899272,61,2500,16942,0,54109,27371,64150,0,29090,31398,35518,0,89,6224,24871,0,17323,30129
364.257,1,1,25,1,1,8240,0.4801860795454546,55,2500,7919,0,40375,20783,19812,0,5527,28698,29800,0,45489,47546,60647,0,33522,38069
364.274,0,1,1,1,0,17188,0.4782558575767359,61,2500,16942,0,54109,27371,64150,0,29090,31398,35518,0,89,6224,24871,0,17323,30129
364.294,1,1,25,1,1,8314,0.48025568181818185,55,2500,7919,0,40375,20783,19812,0,5527,28698,29800,0,45489,47546,60647,0,33522,38069
364.311,0,1,1,1,0,17188,0.47831994117014026,61,2500,16942,0,54109,27371,64150,0,29090,31398,35518,0,89,6224,24871,0,17323,30129
364.331,1,1,25,1,1,8330,0.48025568181818185,56,2500,7919,0,40375,20783,19812,0,5527,28698,29800,0,45489,47546,60647,0,33522,38069
364.348,0,1,1,1,0,17222,0.4782558575767359,60,2500,16942,0,54109,27371,64150,0,29090,31398,35518,0,89,6224,24871,0,17323,30129
364.368,1,1,25,1,1,8392,0.48025568181818185,56,2500,7919,0,40375,20783,19812,0,5527,28698,29800,0,45489,47546,60647,0,33522,38069
364.385,0,1,1,1,0,17190,0.478448108356949,61,2500,16942,0,54109,27371,64150,0,29090,31398,35518,0,89,6224,24871,0,17323,30129
