time[s],SensorID,event,mask,tL.num_valid_targets,tL.reserved,tL.targets[0].amplitude,tL.targets[0].range,tL.targets[0].reserved[0],tL.targets[0].reserved[1],tL.targets[1].amplitude,tL.targets[1].range,tL.targets[1].reserved[0],tL.targets[1].reserved[1],tL.targets[2].amplitude,tL.targets[2].range,tL.targets[2].reserved[0],tL.targets[2].reserved[1],tL.targets[3].amplitude,tL.targets[3].range,tL.targets[3].reserved[0],tL.targets[3].reserved[1],tL.targets[4].amplitude,tL.targets[4].range,tL.targets[4].reserved[0],tL.targets[4].reserved[1]
562.675,1,1,25,1,0,4787,0.41856065533254416,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
562.711,0,1,17,1,0,2769,0.33747708730187254,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
562.752,1,1,25,1,0,4701,0.4184212280656113,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
562.788,0,1,17,1,0,2772,0.3377339191795756,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
562.829,1,1,25,1,0,4605,0.4181423735317455,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
562.865,0,1,17,1,0,2767,0.3376055032407241,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
562.906,1,1,25,1,0,4509,0.4180029462648126,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
562.942,0,1,17,1,0,2767,0.337348671363021,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
562.983,1,1,25,1,0,4474,0.4182818007986784,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
563.019,0,1,17,1,0,2757,0.33722025542416945,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
563.06,1,1,25,1,0,4451,0.4184212280656113,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
563.096,0,1,17,1,0,2730,0.33696342354646636,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
563.137,1,1,25,1,0,4494,0.41870008259947705,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
563.174,0,1,17,1,0,2781,0.3370918394853179,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
563.214,1,1,25,1,0,4564,0.41883950986641,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
563.251,0,1,17,1,0,2782,0.33696342354646636,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
563.291,1,1,25,1,0,4688,0.41870008259947705,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
563.327,0,1,17,1,0,2744,0.3364497597910601,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
563.369,1,1,25,1,0,4775,0.41870008259947705,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
563.405,0,1,17,1,0,2713,0.3364497597910601,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
563.446,1,1,25,1,0,4774,0.4184212280656113,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
563.482,0,1,17,1,0,2719,0.3364497597910601,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
563.523,1,1,25,1,0,4720,0.4182818007986784,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
563.559,0,1,17,1,0,2759,0.33683500760761476,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
563.6,1,1,25,1,0,4646,0.4182818007986784,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
563.636,0,1,17,1,0,2788,0.33722025542416945,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
563.677,1,1,25,1,0,4629,0.4184212280656113,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
563.713,0,1,17,1,0,2857,0.3376055032407241,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
563.754,1,1,25,1,0,4576,0.41883950986641,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
563.79,0,1,17,1,0,2918,0.3379907510572787,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
563.831,1,1,25,1,0,4556,0.4189789371333429,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
563.867,0,1,17,1,0,2960,0.3379907510572787,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
563.908,1,1,25,1,0,4577,0.41939721893414156,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
563.944,0,1,17,1,0,2997,0.33811916699613026,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
563.985,1,1,25,1,0,4578,0.41953664620107445,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
564.021,0,1,17,1,0,2972,0.33786233511842717,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
564.062,1,1,25,1,0,4570,0.41967607346800734,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
564.098,0,1,17,1,0,2905,0.33747708730187254,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
564.139,1,1,25,1,0,4572,0.41981550073494023,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
564.175,0,1,17,1,0,2858,0.33722025542416945,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
564.216,1,1,25,1,0,4577,0.41981550073494023,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
564.252,0,1,17,1,0,2825,0.3367065916687632,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
564.293,1,1,25,1,0,4626,0.41981550073494023,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
564.329,0,1,17,1,0,2785,0.3363213438522086,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
564.37,1,1,25,1,0,4655,0.4199549280018731,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
564.406,0,1,17,1,0,2762,0.33619292791335703,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
564.447,1,1,25,1,0,4726,0.41981550073494023,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
564.483,0,1,17,1,0,2771,0.3364497597910601,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
564.524,1,1,25,1,0,4858,0.41981550073494023,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
564.56,0,1,17,1,0,2765,0.3364497597910601,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
564.601,1,1,25,1,0,4906,0.41967607346800734,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
564.637,0,1,17,1,0,2735,0.3364497597910601,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
564.678,1,1,25,1,0,4900,0.41953664620107445,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
564.714,0,1,17,1,0,2740,0.33683500760761476,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
564.755,1,1,25,1,0,4910,0.41953664620107445,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
564.791,0,1,17,1,0,2792,0.33722025542416945,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
564.832,1,1,25,1,0,4853,0.4189789371333429,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
564.868,0,1,17,1,0,2780,0.33722025542416945,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
564.909,1,1,25,1,0,4825,0.41883950986641,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
564.945,0,1,17,1,0,2779,0.33722025542416945,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
564.986,1,1,25,1,0,4809,0.41883950986641,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
565.022,0,1,17,1,0,2722,0.33683500760761476,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
565.063,1,1,25,1,0,4811,0.41883950986641,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
565.099,0,1,17,1,0,2733,0.33683500760761476,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
565.14,1,1,25,1,0,4850,0.41925779166720867,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
565.176,0,1,17,1,0,2748,0.3367065916687632,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
565.217,1,1,25,1,0,4885,0.41953664620107445,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
565.253,0,1,17,1,0,2779,0.33657817572991167,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
565.294,1,1,25,1,0,4914,0.41953664620107445,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
565.33,0,1,17,1,0,2787,0.33657817572991167,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
565.371,1,1,25,1,0,4887,0.41981550073494023,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
565.407,0,1,17,1,0,2831,0.33683500760761476,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
565.448,1,1,25,1,0,4863,0.4199549280018731,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
565.484,0,1,17,1,0,2854,0.33683500760761476,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
565.525,1,1,25,1,0,4876,0.420094355268806,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
565.561,0,1,17,1,0,2846,0.33683500760761476,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
565.602,1,1,25,1,0,4964,0.4202337825357389,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
565.638,0,1,17,1,0,2829,0.33696342354646636,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
565.679,1,1,25,1,0,4952,0.41953664620107445,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
565.715,0,1,17,1,0,2815,0.33683500760761476,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
565.756,1,1,25,1,0,4953,0.41925779166720867,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
565.792,0,1,17,1,0,2822,0.33683500760761476,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
565.833,1,1,25,1,0,4982,0.41925779166720867,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
565.869,0,1,17,1,0,2817,0.33683500760761476,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
565.91,1,1,25,1,0,4939,0.4189789371333429,25,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
565.946,0,1,17,1,0,2805,0.3367065916687632,23,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
