time[s],SensorID,event,mask,tL.num_valid_targets,tL.reserved,tL.targets[0].amplitude,tL.targets[0].range,tL.targets[0].reserved[0],tL.targets[0].reserved[1],tL.targets[1].amplitude,tL.targets[1].range,tL.targets[1].reserved[0],tL.targets[1].reserved[1],tL.targets[2].amplitude,tL.targets[2].range,tL.targets[2].reserved[0],tL.targets[2].reserved[1],tL.targets[3].amplitude,tL.targets[3].range,tL.targets[3].reserved[0],tL.targets[3].reserved[1],tL.targets[4].amplitude,tL.targets[4].range,tL.targets[4].reserved[0],tL.targets[4].reserved[1]
660.073,0,1,17,1,0,3607,0.4355868645844565,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
660.114,1,1,25,1,0,12246,0.5075152516357297,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
660.15,0,1,17,1,0,3602,0.4355868645844565,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
660.191,1,1,25,1,0,12337,0.5079335334365285,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
660.227,0,1,17,1,0,3646,0.4355868645844565,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
660.268,1,1,25,1,0,12344,0.5079335334365285,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
660.304,0,1,17,1,0,3660,0.43571528052330805,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
660.345,1,1,25,1,0,12437,0.5079335334365285,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
660.381,0,1,17,1,0,3689,0.4355868645844565,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
660.422,1,1,25,1,0,12426,0.5077941061695955,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
660.458,0,1,17,1,0,3668,0.43571528052330805,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
660.499,1,1,25,1,0,12469,0.5076546789026627,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
660.535,0,1,17,1,0,3670,0.43571528052330805,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
660.576,1,1,25,1,0,12564,0.5076546789026627,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
660.612,0,1,17,1,0,3616,0.4355868645844565,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
660.653,1,1,25,1,0,12571,0.5075152516357297,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
660.689,0,1,17,1,0,3614,0.4355868645844565,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
660.73,1,1,25,1,0,12559,0.5075152516357297,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
660.766,0,1,17,1,0,3617,0.4354584486456049,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
660.807,1,1,25,1,0,12391,0.5075152516357297,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
660.843,0,1,17,1,0,3669,0.4355868645844565,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
660.884,1,1,25,1,0,12194,0.5073758243687969,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
660.92,0,1,17,1,0,3761,0.4354584486456049,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
660.961,1,1,25,1,0,12127,0.5075152516357297,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
660.997,0,1,17,1,0,3822,0.4355868645844565,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
661.038,1,1,25,1,0,12017,0.5076546789026627,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
661.074,0,1,17,1,0,3835,0.4354584486456049,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
661.115,1,1,25,1,0,12140,0.5079335334365285,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
661.151,0,1,17,1,0,3860,0.4354584486456049,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
661.192,1,1,25,1,0,12218,0.5079335334365285,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
661.228,0,1,17,1,0,3831,0.4354584486456049,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
661.269,1,1,25,1,0,12327,0.5077941061695955,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
661.305,0,1,17,1,0,3809,0.43507320082905027,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
661.346,1,1,25,1,0,12318,0.5076546789026627,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
661.382,0,1,17,1,0,3819,0.4352016167679018,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
661.423,1,1,25,1,0,12342,0.5076546789026627,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
661.459,0,1,17,1,0,3845,0.4348163689513472,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
661.5,1,1,25,1,0,12307,0.5077941061695955,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
661.536,0,1,17,1,0,3848,0.4348163689513472,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
661.577,1,1,25,1,0,12257,0.5076546789026627,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
661.613,0,1,17,1,0,3830,0.4349447848901987,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
661.655,1,1,25,1,0,12182,0.5075152516357297,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
661.691,0,1,17,1,0,3769,0.4348163689513472,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
661.732,1,1,25,1,0,12092,0.5075152516357297,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
661.768,0,1,17,1,0,3733,0.43468795301249563,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
661.809,1,1,25,1,0,12032,0.507236397101864,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
661.845,0,1,17,1,0,3709,0.4349447848901987,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
661.886,1,1,25,1,0,11919,0.507236397101864,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
661.922,0,1,17,1,0,3719,0.4348163689513472,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
661.963,1,1,25,1,0,11856,0.5070969698349311,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
661.999,0,1,17,1,0,3747,0.4349447848901987,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
662.04,1,1,25,1,0,11710,0.5068181153010654,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
662.076,0,1,17,1,0,3752,0.43507320082905027,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
662.117,1,1,25,1,0,11598,0.5066786880341324,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
662.153,0,1,17,1,0,3752,0.4349447848901987,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
662.194,1,1,25,1,0,11560,0.5066786880341324,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
662.23,0,1,17,1,0,3739,0.4349447848901987,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
662.271,1,1,25,1,0,11548,0.5066786880341324,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
662.307,0,1,17,1,0,3713,0.4348163689513472,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
662.348,1,1,25,1,0,11466,0.5068181153010654,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
662.384,0,1,17,1,0,3733,0.4349447848901987,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
662.425,1,1,25,1,0,11348,0.5065392607671996,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
662.461,0,1,17,1,0,3741,0.4349447848901987,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
662.502,1,1,25,1,0,11311,0.5065392607671996,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
662.538,0,1,17,1,0,3749,0.43468795301249563,27,1600,16942,0,54111,27247,60086,0,16672,29222,35518,0,80,6224,24615,0,51113,29873
662.579,1,1,25,1,0,11225,0.5065392607671996,30,1600,7919,0,56759,20781,19748,0,6047,28698,29800,0,45489,47546,60647,0,33466,38069
